第2004回,2025/06/02,16,18,25,27,31,36,(7),該当なし,該当なし,12口,"5,928,000円",194口,"396,000円","10,751口","7,500円","167,295口","1,000円","237,113,181円"
第2005回,2025/06/05,3,7,18,27,33,34,(6),該当なし,該当なし,10口,"7,290,300円",403口,"195,300円","16,493口","5,000円","227,754口","1,000円","480,117,370円"
第2006回,2025/06/09,4,7,19,22,26,28,(33),2口,"366,756,500円",18口,"4,223,400円",423口,"194,000円","18,834口","4,600円","261,834口","1,000円",0円
第2007回,2025/06/12,6,18,23,24,30,35,(38),1口,"200,000,000円",5口,"12,137,800円",305口,"214,800円","12,816口","5,400円","174,837口","1,000円","2,290,785円"
第2008回,2025/06/16,5,8,9,17,22,36,(30),1口,"212,980,400円",15口,"4,213,900円",403口,"169,300円","16,397口","4,300円","232,774口","1,000円",0円
第2009回,2025/06/19,8,17,20,35,36,40,(12),2口,"110,607,700円",5口,"13,273,300円",173口,"414,200円","9,240口","8,100円","148,204口","1,000円",0円
第2010回,2025/06/23,9,15,24,29,31,40,(13),該当なし,該当なし,3口,"22,850,300円",208口,"355,900円","9,717口","8,000円","153,689口","1,000円","228,495,598円"
第2011回,2025/06/26,12,14,18,24,30,42,(4),1口,"482,082,100円",13口,"5,852,100円",292口,"281,300円","12,185口","7,100円","185,280口","1,000円",0円
第2012回,2025/06/30,1,14,20,36,38,41,(30),1口,"200,000,000円",1口,"75,217,100円",118口,"688,400円","7,433口","11,500円","136,879口","1,000円","50,715,673円"
