第2090回,2026/04/02,2,3,6,9,24,36,(5),1口,"449,917,100円",8口,"7,992,100円",476口,"145,000円","19,544口","3,700円","251,566口","1,000円",0円
第2091回,2026/04/06,6,16,21,25,28,43,(9),該当なし,該当なし,2口,"34,177,100円",187口,"394,700円","9,022口","8,600円","160,010口","1,000円","227,840,393円"
第2092回,2026/04/09,8,13,27,36,37,43,(3),該当なし,該当なし,6口,"12,644,000円",264口,"310,300円","11,718口","7,300円","181,007口","1,000円","480,712,171円"
第2093回,2026/04/13,2,10,21,26,29,38,(12),該当なし,該当なし,16口,"5,077,800円",329口,"266,600円","14,455口","6,400円","224,282口","1,000円","751,519,994円"
第2094回,2026/04/16,3,4,7,11,24,30,(16),5口,"200,321,600円",18口,"4,168,200円",710口,"114,100円","25,626口","3,300円","316,889口","1,000円",0円
第2095回,2026/04/20,13,20,22,23,28,30,(29),該当なし,該当なし,5口,"14,547,300円",175口,"448,800円","8,524口","9,700円","153,085口","1,000円","242,447,428円"
第2096回,2026/04/23,8,15,18,21,33,43,(38),該当なし,該当なし,6口,"12,574,100円",239口,"340,900円","12,495口","6,800円","190,942口","1,000円","493,922,051円"
