第6157回,2023/03/01,989,78,"""95,200円""",279,"""31,700円""",216,"""63,400円""",400,"""15,800円"""
第6158回,2023/03/02,474,45,"""130,000円""",204,"""43,300円""",120,"""86,600円""",269,"""21,600円"""
第6159回,2023/03/03,609,72,"""96,500円""",497,"""16,000円""",243,"""56,200円""",974,"""8,000円"""
第6160回,2023/03/06,145,313,"""64,700円""",691,"""10,700円""",189,"""37,700円""","1,435","""5,300円"""
第6161回,2023/03/07,276,84,"""80,000円""",501,"""13,300円""",222,"""46,600円""","1,169","""6,600円"""
第6162回,2023/03/08,175,107,"""82,400円""",523,"""13,700円""",245,"""48,000円""","1,094","""6,800円"""
第6163回,2023/03/09,092,107,"""95,200円""",418,"""15,800円""",168,"""55,500円""",974,"""7,900円"""
第6164回,2023/03/10,429,154,"""69,600円""",556,"""11,600円""",296,"""40,600円""",935,"""5,800円"""
第6165回,2023/03/13,674,133,"""91,900円""",558,"""15,300円""",193,"""53,600円""","1,264","""7,600円"""
第6166回,2023/03/14,144,61,"""111,100円""",193,"""37,000円""",126,"""74,000円""",332,"""18,500円"""
第6167回,2023/03/15,134,76,"""83,300円""",662,"""13,800円""",184,"""48,500円""","1,386","""6,900円"""
第6168回,2023/03/16,232,61,"""99,900円""",313,"""33,300円""",123,"""66,600円""",525,"""16,600円"""
第6169回,2023/03/17,161,78,"""115,800円""",219,"""38,600円""",102,"""77,200円""",446,"""19,300円"""
第6170回,2023/03/20,675,99,"""116,600円""",467,"""19,400円""",146,"""68,000円""",858,"""9,700円"""
第6171回,2023/03/21,337,66,"""109,900円""",263,"""36,600円""",172,"""73,200円""",348,"""18,300円"""
第6172回,2023/03/22,928,120,"""75,400円""",442,"""12,500円""",305,"""43,900円""",894,"""6,200円"""
第6173回,2023/03/23,325,158,"""59,900円""",515,"""9,900円""",382,"""34,900円""","1,084","""4,900円"""
第6174回,2023/03/24,484,177,"""72,000円""",287,"""24,000円""",189,"""48,000円""",313,"""12,000円"""
第6175回,2023/03/27,321,366,"""52,200円""",780,"""8,700円""",376,"""30,400円""","1,361","""4,300円"""
第6176回,2023/03/28,137,67,"""88,900円""",485,"""14,800円""",190,"""51,800円""","1,104","""7,400円"""
第6177回,2023/03/29,320,98,"""87,500円""",408,"""14,500円""",271,"""51,000円""",795,"""7,200円"""
第6178回,2023/03/30,839,51,"""86,900円""",564,"""14,400円""",195,"""50,600円""","1,189","""7,200円"""
第6179回,2023/03/31,694,85,"""80,000円""",485,"""13,300円""",281,"""46,600円""","1,147","""6,600円"""
