第6459回,2024/05/01,907,240,"""73,200円""",434,"""12,200円""",188,"""42,700円""",962,"""6,100円"""
第6460回,2024/05/02,313,100,"""91,400円""",228,"""30,400円""",250,"""60,900円""",294,"""15,200円"""
第6461回,2024/05/03,666,426,"""78,600円""",0,"""0円""",0,"""0円""",0,"""0円"""
第6462回,2024/05/06,827,118,"""83,300円""",532,"""13,800円""",265,"""48,500円""","1,110","""6,900円"""
第6463回,2024/05/07,282,398,"""53,200円""",261,"""17,700円""",126,"""35,400円""",433,"""8,800円"""
第6464回,2024/05/08,412,90,"""90,700円""",411,"""15,100円""",197,"""52,900円""",965,"""7,500円"""
第6465回,2024/05/09,271,304,"""49,800円""",604,"""8,300円""",258,"""29,000円""","1,349","""4,100円"""
第6466回,2024/05/10,473,57,"""107,500円""",480,"""17,900円""",150,"""62,700円""","1,080","""8,900円"""
第6467回,2024/05/13,186,115,"""89,600円""",591,"""14,900円""",191,"""52,200円""","1,234","""7,400円"""
第6468回,2024/05/14,772,49,"""96,700円""",289,"""32,200円""",153,"""64,400円""",466,"""16,100円"""
第6469回,2024/05/15,219,108,"""74,100円""",578,"""12,300円""",242,"""43,200円""","1,316","""6,100円"""
第6470回,2024/05/16,943,212,"""66,200円""",546,"""11,000円""",194,"""38,600円""","1,117","""5,500円"""
第6471回,2024/05/17,872,149,"""78,000円""",534,"""13,000円""",180,"""45,500円""","1,248","""6,500円"""
第6472回,2024/05/20,156,418,"""53,600円""",628,"""8,900円""",238,"""31,200円""","1,278","""4,400円"""
第6473回,2024/05/21,526,506,"""41,600円""",399,"""6,900円""",305,"""24,200円""",914,"""3,400円"""
第6474回,2024/05/22,719,84,"""85,900円""",392,"""14,300円""",250,"""50,100円""",833,"""7,100円"""
第6475回,2024/05/23,268,72,"""83,600円""",548,"""13,900円""",220,"""48,700円""","1,077","""6,900円"""
第6476回,2024/05/24,267,70,"""88,200円""",592,"""14,700円""",197,"""51,400円""","1,271","""7,300円"""
第6477回,2024/05/27,161,66,"""116,600円""",273,"""38,800円""",112,"""77,700円""",501,"""19,400円"""
第6478回,2024/05/28,564,167,"""95,200円""",252,"""15,800円""",109,"""55,500円""",593,"""7,900円"""
第6479回,2024/05/29,419,152,"""59,500円""",511,"""9,900円""",346,"""34,700円""",985,"""4,900円"""
第6480回,2024/05/30,933,441,"""49,300円""",249,"""16,400円""",143,"""32,800円""",398,"""8,200円"""
第6481回,2024/05/31,904,42,"""114,400円""",350,"""19,000円""",189,"""66,700円""",780,"""9,500円"""
