第5491回,2020/08/03,009,147,"""76,000円""",429,"""25,300円""",253,"""50,600円""",480,"""12,600円"""
第5492回,2020/08/04,113,136,"""70,900円""",295,"""23,600円""",282,"""47,200円""",396,"""11,800円"""
第5493回,2020/08/05,229,101,"""84,700円""",291,"""28,200円""",234,"""56,400円""",319,"""14,100円"""
第5494回,2020/08/06,796,52,"""108,500円""",478,"""18,000円""",160,"""63,200円""",951,"""9,000円"""
第5495回,2020/08/07,332,75,"""97,200円""",278,"""32,400円""",205,"""64,800円""",424,"""16,200円"""
第5496回,2020/08/10,681,102,"""91,600円""",674,"""15,200円""",182,"""53,400円""","1,327","""7,600円"""
第5497回,2020/08/11,871,56,"""95,900円""",542,"""15,900円""",162,"""55,900円""","1,231","""7,900円"""
第5498回,2020/08/12,640,43,"""135,000円""",316,"""22,500円""",114,"""78,700円""",806,"""11,200円"""
第5499回,2020/08/13,998,76,"""101,400円""",245,"""33,800円""",180,"""67,600円""",266,"""16,900円"""
第5500回,2020/08/14,132,83,"""80,700円""",768,"""13,400円""",251,"""47,000円""","1,559","""6,700円"""
第5501回,2020/08/17,946,64,"""105,200円""",585,"""17,500円""",216,"""61,300円""","1,100","""8,700円"""
第5502回,2020/08/18,858,82,"""89,400円""",324,"""29,800円""",197,"""59,600円""",305,"""14,900円"""
第5503回,2020/08/19,884,74,"""124,200円""",204,"""41,400円""",124,"""82,800円""",254,"""20,700円"""
第5504回,2020/08/20,611,118,"""83,500円""",244,"""27,800円""",199,"""55,600円""",366,"""13,900円"""
第5505回,2020/08/21,529,91,"""88,400円""",480,"""14,700円""",261,"""51,500円""",933,"""7,300円"""
第5506回,2020/08/24,317,141,"""70,600円""",819,"""11,700円""",332,"""41,100円""","1,487","""5,800円"""
第5507回,2020/08/25,226,160,"""60,400円""",337,"""20,100円""",363,"""40,200円""",395,"""10,000円"""
第5508回,2020/08/26,687,59,"""107,100円""",484,"""17,800円""",159,"""62,400円""",942,"""8,900円"""
第5509回,2020/08/27,267,69,"""91,000円""",546,"""15,100円""",188,"""53,000円""","1,190","""7,500円"""
第5510回,2020/08/28,930,63,"""99,700円""",575,"""16,600円""",198,"""58,100円""","1,089","""8,300円"""
第5511回,2020/08/31,443,151,"""81,600円""",345,"""27,200円""",287,"""54,400円""",321,"""13,600円"""
