第4525回,2016/11/01,643,63,"""101,800円""",435,"""16,900円""",149,"""59,300円""",918,"""8,400円"""
第4526回,2016/11/02,215,108,"""85,700円""",478,"""14,200円""",201,"""49,900円""",920,"""7,100円"""
第4527回,2016/11/03,306,120,"""68,400円""",425,"""11,400円""",302,"""39,900円""",836,"""5,700円"""
第4528回,2016/11/04,971,52,"""115,700円""",476,"""19,200円""",132,"""67,400円""",907,"""9,600円"""
第4529回,2016/11/07,721,174,"""52,600円""","1,023","""8,700円""",486,"""30,600円""","1,713","""4,300円"""
第4530回,2016/11/08,994,43,"""137,500円""",177,"""45,800円""",97,"""91,600円""",201,"""22,900円"""
第4531回,2016/11/09,687,36,"""119,400円""",397,"""19,900円""",131,"""69,600円""",743,"""9,900円"""
第4532回,2016/11/10,526,96,"""84,000円""",415,"""14,000円""",227,"""49,000円""",783,"""7,000円"""
第4533回,2016/11/11,623,82,"""77,300円""",568,"""12,800円""",267,"""45,000円""",987,"""6,400円"""
第4534回,2016/11/14,244,91,"""93,100円""",289,"""31,000円""",174,"""62,000円""",334,"""15,500円"""
第4535回,2016/11/15,697,44,"""119,000円""",357,"""19,800円""",137,"""69,400円""",711,"""9,900円"""
第4536回,2016/11/16,396,77,"""72,800円""",652,"""12,100円""",228,"""42,400円""","1,326","""6,000円"""
第4537回,2016/11/17,899,49,"""110,000円""",227,"""36,600円""",124,"""73,300円""",240,"""18,300円"""
第4538回,2016/11/18,281,72,"""91,900円""",513,"""15,300円""",150,"""53,600円""","1,167","""7,600円"""
第4539回,2016/11/21,722,110,"""76,800円""",361,"""25,600円""",237,"""51,200円""",401,"""12,800円"""
第4540回,2016/11/22,325,179,"""65,600円""",402,"""10,900円""",259,"""38,200円""",777,"""5,400円"""
第4541回,2016/11/23,850,51,"""108,900円""",309,"""18,100円""",137,"""63,500円""",791,"""9,000円"""
第4542回,2016/11/24,839,54,"""87,300円""",445,"""14,500円""",144,"""50,900円""","1,160","""7,200円"""
第4543回,2016/11/25,609,63,"""103,300円""",414,"""17,200円""",181,"""60,200円""",757,"""8,600円"""
第4544回,2016/11/28,090,120,"""80,400円""",420,"""26,800円""",195,"""53,600円""",434,"""13,400円"""
第4545回,2016/11/29,217,110,"""55,000円""",785,"""9,100円""",318,"""32,000円""","1,667","""4,500円"""
第4546回,2016/11/30,628,91,"""78,200円""",492,"""13,000円""",263,"""45,600円""",899,"""6,500円"""
