第5639回,2021/03/01,246,147,"""69,600円""","1,107","""11,600円""",405,"""40,600円""","1,613","""5,800円"""
第5640回,2021/03/02,934,84,"""97,600円""",543,"""16,200円""",172,"""56,900円""",991,"""8,100円"""
第5641回,2021/03/03,291,98,"""80,700円""",730,"""13,400円""",253,"""47,000円""","1,548","""6,700円"""
第5642回,2021/03/04,931,101,"""78,600円""",762,"""13,100円""",232,"""45,800円""","1,660","""6,500円"""
第5643回,2021/03/05,831,127,"""63,900円""",907,"""10,600円""",439,"""37,200円""","1,766","""5,300円"""
第5644回,2021/03/08,097,123,"""108,000円""",539,"""18,000円""",187,"""63,000円""","1,062","""9,000円"""
第5645回,2021/03/09,807,56,"""96,300円""",636,"""16,000円""",207,"""56,100円""","1,173","""8,000円"""
第5646回,2021/03/10,566,132,"""84,200円""",267,"""28,000円""",197,"""56,100円""",317,"""14,000円"""
第5647回,2021/03/11,767,85,"""91,700円""",342,"""30,500円""",174,"""61,100円""",461,"""15,200円"""
第5648回,2021/03/12,759,50,"""121,000円""",503,"""20,100円""",171,"""70,500円""",950,"""10,000円"""
第5649回,2021/03/15,351,164,"""56,800円""","1,551","""9,400円""",271,"""33,100円""","2,893","""4,700円"""
第5650回,2021/03/16,642,99,"""67,100円""",967,"""11,100円""",204,"""39,100円""","1,787","""5,500円"""
第5651回,2021/03/17,881,56,"""123,000円""",206,"""41,000円""",160,"""82,000円""",352,"""20,500円"""
第5652回,2021/03/18,347,84,"""92,300円""",491,"""15,300円""",213,"""53,800円""","1,034","""7,600円"""
第5653回,2021/03/19,989,74,"""102,600円""",353,"""34,200円""",169,"""68,400円""",400,"""17,100円"""
第5654回,2021/03/22,048,81,"""116,100円""",490,"""19,300円""",166,"""67,700円""","1,008","""9,600円"""
第5655回,2021/03/23,369,189,"""51,200円""",679,"""8,500円""",523,"""29,800円""","1,132","""4,200円"""
第5656回,2021/03/24,876,43,"""116,700円""",532,"""19,400円""",141,"""68,000円""",955,"""9,700円"""
第5657回,2021/03/25,548,48,"""107,700円""",572,"""17,900円""",184,"""62,800円""","1,007","""8,900円"""
第5658回,2021/03/26,020,60,"""121,600円""",224,"""40,500円""",148,"""81,000円""",309,"""20,200円"""
第5659回,2021/03/29,574,72,"""120,600円""",597,"""20,100円""",157,"""70,300円""","1,063","""10,000円"""
第5660回,2021/03/30,526,109,"""79,200円""",594,"""13,200円""",248,"""46,200円""","1,078","""6,600円"""
第5661回,2021/03/31,985,58,"""121,600円""",618,"""20,200円""",150,"""70,900円""","1,148","""10,100円"""
