第5878回,2022/02/01,372,91,"""76,000円""",662,"""12,600円""",261,"""44,300円""","1,274","""6,300円"""
第5879回,2022/02/02,160,44,"""133,900円""",405,"""22,300円""",101,"""78,100円""",889,"""11,100円"""
第5880回,2022/02/03,839,76,"""76,200円""",744,"""12,700円""",230,"""44,400円""","1,602","""6,300円"""
第5881回,2022/02/04,094,87,"""91,800円""",561,"""15,300円""",215,"""53,500円""","1,206","""7,600円"""
第5882回,2022/02/07,138,125,"""69,400円""",952,"""11,500円""",287,"""40,400円""","1,735","""5,700円"""
第5883回,2022/02/08,355,114,"""88,400円""",269,"""29,400円""",207,"""58,900円""",275,"""14,700円"""
第5884回,2022/02/09,008,40,"""122,800円""",250,"""40,900円""",142,"""81,800円""",379,"""20,400円"""
第5885回,2022/02/10,577,68,"""94,000円""",274,"""31,300円""",143,"""62,600円""",396,"""15,600円"""
第5886回,2022/02/11,888,453,"""74,400円""",0,"""0円""",0,"""0円""",0,"""0円"""
第5887回,2022/02/14,973,79,"""100,800円""",674,"""16,800円""",174,"""58,800円""","1,408","""8,400円"""
第5888回,2022/02/15,280,61,"""122,600円""",486,"""20,400円""",137,"""71,500円""",921,"""10,200円"""
第5889回,2022/02/16,494,117,"""108,100円""",268,"""36,000円""",136,"""72,000円""",303,"""18,000円"""
第5890回,2022/02/17,719,198,"""72,000円""",535,"""12,000円""",281,"""42,000円""",933,"""6,000円"""
第5891回,2022/02/18,098,98,"""73,600円""",759,"""12,200円""",275,"""42,900円""","1,682","""6,100円"""
第5892回,2022/02/21,991,82,"""100,100円""",440,"""33,300円""",176,"""66,700円""",577,"""16,600円"""
第5893回,2022/02/22,481,48,"""115,400円""",568,"""19,200円""",138,"""67,300円""","1,092","""9,600円"""
第5894回,2022/02/23,520,68,"""110,800円""",431,"""18,400円""",179,"""64,600円""",786,"""9,200円"""
第5895回,2022/02/24,811,116,"""84,200円""",261,"""28,000円""",188,"""56,100円""",460,"""14,000円"""
第5896回,2022/02/25,951,52,"""105,600円""",592,"""17,600円""",194,"""61,600円""","1,206","""8,800円"""
第5897回,2022/02/28,358,520,"""32,300円""","1,304","""5,300円""","1,054","""18,800円""","1,798","""2,600円"""
