第4569回,2017/01/04,450,47,"""119,500円""",544,"""19,900円""",147,"""69,700円""",843,"""9,900円"""
第4570回,2017/01/05,387,66,"""112,900円""",369,"""18,800円""",135,"""65,800円""",700,"""9,400円"""
第4571回,2017/01/06,714,126,"""65,600円""",678,"""10,900円""",344,"""38,200円""","1,292","""5,400円"""
第4572回,2017/01/09,076,78,"""102,500円""",577,"""17,000円""",176,"""59,700円""","1,018","""8,500円"""
第4573回,2017/01/10,339,79,"""99,400円""",270,"""33,100円""",179,"""66,200円""",259,"""16,500円"""
第4574回,2017/01/11,694,88,"""91,400円""",485,"""15,200円""",214,"""53,300円""",980,"""7,600円"""
第4575回,2017/01/12,575,96,"""101,200円""",217,"""33,700円""",161,"""67,400円""",249,"""16,800円"""
第4576回,2017/01/13,211,134,"""64,900円""",388,"""21,600円""",237,"""43,200円""",605,"""10,800円"""
第4577回,2017/01/16,085,61,"""147,000円""",442,"""24,500円""",83,"""85,700円""",805,"""12,200円"""
第4578回,2017/01/17,649,49,"""124,800円""",381,"""20,800円""",104,"""72,800円""",701,"""10,400円"""
第4579回,2017/01/18,745,50,"""94,500円""",597,"""15,700円""",185,"""55,100円""","1,005","""7,800円"""
第4580回,2017/01/19,697,104,"""79,000円""",411,"""13,100円""",270,"""46,000円""",867,"""6,500円"""
第4581回,2017/01/20,859,75,"""87,900円""",460,"""14,600円""",231,"""51,200円""",997,"""7,300円"""
第4582回,2017/01/23,857,71,"""102,100円""",611,"""17,000円""",165,"""59,500円""","1,119","""8,500円"""
第4583回,2017/01/24,387,76,"""92,200円""",381,"""15,300円""",162,"""53,700円""",784,"""7,600円"""
第4584回,2017/01/25,644,59,"""116,700円""",224,"""38,900円""",127,"""77,800円""",242,"""19,400円"""
第4585回,2017/01/26,852,51,"""95,200円""",608,"""15,800円""",141,"""55,500円""","1,318","""7,900円"""
第4586回,2017/01/27,132,46,"""107,000円""",599,"""17,800円""",121,"""62,400円""","1,215","""8,900円"""
第4587回,2017/01/30,440,144,"""105,300円""",291,"""35,100円""",140,"""70,200円""",329,"""17,500円"""
第4588回,2017/01/31,837,73,"""83,500円""",502,"""13,900円""",227,"""48,700円""","1,020","""6,900円"""
