第5662回,2021/04/01,655,65,"""126,200円""",237,"""42,000円""",99,"""84,100円""",356,"""21,000円"""
第5663回,2021/04/02,933,82,"""85,200円""",371,"""28,400円""",173,"""56,800円""",474,"""14,200円"""
第5664回,2021/04/05,415,168,"""68,400円""",742,"""11,400円""",450,"""39,900円""","1,269","""5,700円"""
第5665回,2021/04/06,053,62,"""114,500円""",506,"""19,000円""",115,"""66,700円""","1,015","""9,500円"""
第5666回,2021/04/07,742,117,"""67,300円""",765,"""11,200円""",259,"""39,200円""","1,599","""5,600円"""
第5667回,2021/04/08,611,105,"""84,800円""",270,"""28,200円""",189,"""56,500円""",461,"""14,100円"""
第5668回,2021/04/09,684,127,"""84,700円""",655,"""14,100円""",182,"""49,400円""","1,131","""7,000円"""
第5669回,2021/04/12,178,204,"""54,500円""",944,"""9,000円""",531,"""31,700円""","1,853","""4,500円"""
第5670回,2021/04/13,136,135,"""65,400円""",744,"""10,900円""",273,"""38,100円""","1,447","""5,400円"""
第5671回,2021/04/14,680,77,"""120,500円""",373,"""20,000円""",146,"""70,200円""",831,"""10,000円"""
第5672回,2021/04/15,016,96,"""107,700円""",556,"""17,900円""",150,"""62,800円""","1,032","""8,900円"""
第5673回,2021/04/16,623,129,"""67,800円""",689,"""11,300円""",397,"""39,500円""","1,520","""5,600円"""
第5674回,2021/04/19,750,117,"""108,300円""",555,"""18,000円""",177,"""63,100円""","1,131","""9,000円"""
第5675回,2021/04/20,526,115,"""81,500円""",545,"""13,500円""",301,"""47,500円""",944,"""6,700円"""
第5676回,2021/04/21,258,113,"""69,700円""",685,"""11,600円""",357,"""40,600円""","1,216","""5,800円"""
第5677回,2021/04/22,148,74,"""91,900円""",656,"""15,300円""",196,"""53,600円""","1,275","""7,600円"""
第5678回,2021/04/23,762,102,"""100,400円""",643,"""16,700円""",160,"""58,500円""","1,201","""8,300円"""
第5679回,2021/04/26,109,172,"""76,900円""",650,"""12,800円""",375,"""44,800円""","1,242","""6,400円"""
第5680回,2021/04/27,053,52,"""117,600円""",498,"""19,600円""",153,"""68,600円""",940,"""9,800円"""
第5681回,2021/04/28,537,96,"""81,900円""",696,"""13,600円""",213,"""47,700円""","1,317","""6,800円"""
第5682回,2021/04/29,755,56,"""101,800円""",304,"""33,900円""",142,"""67,800円""",348,"""16,900円"""
第5683回,2021/04/30,050,86,"""110,800円""",306,"""36,900円""",184,"""73,800円""",356,"""18,400円"""
