第5403回,2020/04/01,176,43,"""113,500円""",488,"""18,900円""",139,"""66,200円""",996,"""9,400円"""
第5404回,2020/04/02,010,69,"""128,500円""",191,"""42,800円""",140,"""85,600円""",206,"""21,400円"""
第5405回,2020/04/03,802,80,"""94,400円""",455,"""15,700円""",237,"""55,000円""",997,"""7,800円"""
第5406回,2020/04/06,602,99,"""109,000円""",504,"""18,100円""",190,"""63,500円""",894,"""9,000円"""
第5407回,2020/04/07,221,121,"""81,600円""",312,"""27,200円""",175,"""54,400円""",399,"""13,600円"""
第5408回,2020/04/08,925,114,"""76,600円""",441,"""12,700円""",293,"""44,600円""",811,"""6,300円"""
第5409回,2020/04/09,505,90,"""103,700円""",197,"""34,500円""",133,"""69,100円""",234,"""17,200円"""
第5410回,2020/04/10,182,41,"""97,600円""",532,"""16,200円""",161,"""56,900円""","1,149","""8,100円"""
第5411回,2020/04/13,684,60,"""107,200円""",435,"""17,800円""",152,"""62,500円""",912,"""8,900円"""
第5412回,2020/04/14,909,77,"""90,300円""",226,"""30,100円""",174,"""60,200円""",215,"""15,000円"""
第5413回,2020/04/15,962,26,"""122,700円""",462,"""20,400円""",116,"""71,500円""","1,021","""10,200円"""
第5414回,2020/04/16,010,54,"""138,900円""",174,"""46,300円""",103,"""92,600円""",217,"""23,100円"""
第5415回,2020/04/17,391,68,"""89,400円""",570,"""14,900円""",179,"""52,100円""","1,240","""7,400円"""
第5416回,2020/04/20,950,37,"""123,700円""",431,"""20,600円""",112,"""72,100円""",853,"""10,300円"""
第5417回,2020/04/21,889,60,"""101,500円""",209,"""33,800円""",134,"""67,600円""",217,"""16,900円"""
第5418回,2020/04/22,489,54,"""99,500円""",361,"""16,500円""",164,"""58,000円""",830,"""8,200円"""
第5419回,2020/04/23,804,64,"""79,900円""",439,"""13,300円""",231,"""46,600円""",777,"""6,600円"""
第5420回,2020/04/24,654,34,"""128,600円""",315,"""21,400円""",96,"""75,000円""",681,"""10,700円"""
第5421回,2020/04/27,867,41,"""110,300円""",308,"""18,300円""",144,"""64,300円""",714,"""9,100円"""
第5422回,2020/04/28,843,33,"""117,600円""",271,"""19,600円""",98,"""68,600円""",572,"""9,800円"""
第5423回,2020/04/29,457,33,"""105,100円""",334,"""17,500円""",137,"""61,300円""",595,"""8,700円"""
第5424回,2020/04/30,054,32,"""125,700円""",302,"""20,900円""",76,"""73,300円""",788,"""10,400円"""
