第4784回,2017/11/01,046,54,"""122,300円""",313,"""20,300円""",141,"""71,300円""",629,"""10,100円"""
第4785回,2017/11/02,501,82,"""77,700円""",590,"""12,900円""",230,"""45,300円""","1,023","""6,400円"""
第4786回,2017/11/03,221,113,"""69,700円""",310,"""23,200円""",233,"""46,400円""",374,"""11,600円"""
第4787回,2017/11/06,996,72,"""130,500円""",231,"""43,500円""",123,"""87,000円""",252,"""21,700円"""
第4788回,2017/11/07,496,40,"""114,800円""",393,"""19,100円""",142,"""66,900円""",868,"""9,500円"""
第4789回,2017/11/08,714,96,"""66,100円""",563,"""11,000円""",320,"""38,500円""","1,074","""5,500円"""
第4790回,2017/11/09,836,40,"""99,400円""",477,"""16,500円""",155,"""57,900円""","1,014","""8,200円"""
第4791回,2017/11/10,621,107,"""68,700円""",582,"""11,400円""",242,"""40,000円""","1,168","""5,700円"""
第4792回,2017/11/13,732,75,"""75,100円""",805,"""12,500円""",242,"""43,800円""","1,558","""6,200円"""
第4793回,2017/11/14,523,105,"""73,400円""",410,"""12,200円""",241,"""42,800円""",842,"""6,100円"""
第4794回,2017/11/15,385,139,"""52,800円""",747,"""8,800円""",373,"""30,800円""","1,523","""4,400円"""
第4795回,2017/11/16,754,47,"""123,600円""",391,"""20,600円""",95,"""72,100円""",740,"""10,300円"""
第4796回,2017/11/17,434,46,"""121,600円""",222,"""40,500円""",92,"""81,000円""",259,"""20,200円"""
第4797回,2017/11/20,891,89,"""82,800円""",639,"""13,800円""",220,"""48,300円""","1,427","""6,900円"""
第4798回,2017/11/21,176,66,"""101,800円""",397,"""16,900円""",135,"""59,300円""",883,"""8,400円"""
第4799回,2017/11/22,609,74,"""81,000円""",483,"""13,500円""",226,"""47,200円""",873,"""6,700円"""
第4800回,2017/11/23,794,66,"""95,300円""",375,"""15,800円""",159,"""55,500円""",772,"""7,900円"""
第4801回,2017/11/24,177,124,"""88,000円""",219,"""29,300円""",136,"""58,600円""",307,"""14,600円"""
第4802回,2017/11/27,173,75,"""90,000円""",679,"""15,000円""",177,"""52,500円""","1,374","""7,500円"""
第4803回,2017/11/28,261,72,"""89,000円""",500,"""14,800円""",116,"""51,900円""","1,037","""7,400円"""
第4804回,2017/11/29,782,61,"""83,000円""",536,"""13,800円""",193,"""48,400円""","1,148","""6,900円"""
第4805回,2017/11/30,820,73,"""90,900円""",423,"""15,100円""",222,"""53,000円""",800,"""7,500円"""
