第5577回,2020/12/01,0254,14,"""992,200円""",482,"""41,300円""",53,"""516,700円""",018,"""20,600円"""
第5578回,2020/12/02,1446,20,"""901,700円""",191,"""75,100円""",76,"""488,400円""",952,"""37,500円"""
第5579回,2020/12/03,5190,24,"""931,400円""",408,"""38,800円""",64,"""485,100円""",762,"""19,400円"""
第5580回,2020/12/04,4636,28,"""1,011,300円""",151,"""84,200円""",71,"""547,700円""",711,"""42,100円"""
第5581回,2020/12/07,2819,24,"""882,200円""",461,"""36,700円""",98,"""459,400円""",984,"""18,300円"""
第5582回,2020/12/08,6591,16,"""1,012,700円""",415,"""42,100円""",59,"""527,400円""",676,"""21,000円"""
第5583回,2020/12/09,0030,19,"""1,154,800円""",88,"""288,700円""",40,"""721,700円""",192,"""144,300円"""
第5584回,2020/12/10,7507,45,"""789,300円""",140,"""65,700円""",91,"""427,500円""",676,"""32,800円"""
第5585回,2020/12/11,0502,41,"""768,500円""",173,"""64,000円""",97,"""416,200円""",840,"""32,000円"""
第5586回,2020/12/14,4515,19,"""1,006,100円""",208,"""83,800円""",86,"""544,900円""",860,"""41,900円"""
第5587回,2020/12/15,0406,58,"""638,500円""",171,"""53,200円""",127,"""345,800円""",637,"""26,600円"""
第5588回,2020/12/16,0274,11,"""1,242,500円""",355,"""51,700円""",45,"""647,100円""",811,"""25,800円"""
第5589回,2020/12/17,1962,57,"""484,900円""",465,"""20,200円""",197,"""252,500円""",047,"""10,100円"""
第5590回,2020/12/18,1174,13,"""975,000円""",238,"""81,200円""",68,"""528,100円""",111,"""40,600円"""
第5591回,2020/12/21,9935,25,"""1,048,400円""",200,"""87,300円""",83,"""567,800円""",827,"""43,600円"""
第5592回,2020/12/22,6635,21,"""992,300円""",175,"""82,600円""",81,"""537,400円""",674,"""41,300円"""
第5593回,2020/12/23,7349,17,"""1,066,700円""",455,"""44,400円""",64,"""555,500円""",725,"""22,200円"""
第5594回,2020/12/24,8737,25,"""951,100円""",223,"""79,200円""",67,"""515,100円""",898,"""39,600円"""
第5595回,2020/12/25,5876,22,"""866,900円""",568,"""36,100円""",90,"""451,500円""",194,"""18,000円"""
第5596回,2020/12/28,2058,36,"""835,400円""",573,"""34,800円""",107,"""435,100円""",115,"""17,400円"""
第5597回,2020/12/29,2649,21,"""1,029,200円""",403,"""42,800円""",71,"""536,000円""",670,"""21,400円"""
第5598回,2020/12/30,0169,21,"""886,600円""",523,"""36,900円""",75,"""461,700円""",525,"""18,400円"""
