第5064回,2018/12/03,8323,25,"""1,160,800円""",193,"""96,700円""",50,"""628,700円""",737,"""48,300円"""
第5065回,2018/12/04,7127,12,"""1,001,600円""",143,"""83,400円""",76,"""542,500円""",686,"""41,700円"""
第5066回,2018/12/05,6135,15,"""919,300円""",406,"""38,300円""",75,"""478,800円""",751,"""19,100円"""
第5067回,2018/12/06,6525,12,"""1,222,900円""",146,"""101,900円""",47,"""662,400円""",672,"""50,900円"""
第5068回,2018/12/07,5785,18,"""944,000円""",400,"""78,600円""",56,"""511,300円""",637,"""39,300円"""
第5069回,2018/12/10,2621,24,"""848,800円""",294,"""70,700円""",75,"""459,700円""",082,"""35,300円"""
第5070回,2018/12/11,3299,14,"""1,177,500円""",139,"""98,100円""",56,"""637,800円""",567,"""49,000円"""
第5071回,2018/12/12,5384,16,"""1,152,500円""",355,"""48,000円""",50,"""600,200円""",345,"""24,000円"""
第5072回,2018/12/13,1350,29,"""788,100円""",431,"""32,800円""",72,"""410,400円""",944,"""16,400円"""
第5073回,2018/12/14,5853,13,"""915,700円""",222,"""76,300円""",82,"""496,000円""",036,"""38,100円"""
第5074回,2018/12/17,8564,21,"""918,100円""",544,"""38,200円""",91,"""478,100円""",995,"""19,100円"""
第5075回,2018/12/18,5146,25,"""794,800円""",453,"""33,100円""",83,"""413,900円""",965,"""16,500円"""
第5076回,2018/12/19,9225,23,"""1,281,100円""",163,"""106,700円""",34,"""693,900円""",664,"""53,300円"""
第5077回,2018/12/20,5575,16,"""923,800円""",105,"""230,900円""",71,"""577,300円""",217,"""115,400円"""
第5078回,2018/12/21,6828,25,"""1,161,200円""",149,"""96,700円""",49,"""628,900円""",724,"""48,300円"""
第5079回,2018/12/24,1631,34,"""868,000円""",196,"""72,300円""",90,"""470,100円""",800,"""36,100円"""
第5080回,2018/12/25,3724,40,"""757,900円""",373,"""31,500円""",94,"""394,700円""",611,"""15,700円"""
第5081回,2018/12/26,2822,34,"""933,000円""",82,"""233,200円""",62,"""583,100円""",173,"""116,600円"""
第5082回,2018/12/27,3002,15,"""1,135,100円""",182,"""94,500円""",56,"""614,800円""",848,"""47,200円"""
第5083回,2018/12/28,5231,25,"""845,400円""",627,"""35,200円""",75,"""440,300円""",328,"""17,600円"""
