第5898回,2022/03/01,5279,40,"""726,500円""",432,"""30,200円""",92,"""378,300円""",657,"""15,100円"""
第5899回,2022/03/02,3365,18,"""901,300円""",188,"""75,100円""",89,"""488,200円""",821,"""37,500円"""
第5900回,2022/03/03,1990,47,"""682,200円""",207,"""56,800円""",95,"""369,500円""",883,"""28,400円"""
第5901回,2022/03/04,3591,43,"""653,900円""",576,"""27,200円""",106,"""340,500円""",145,"""13,600円"""
第5902回,2022/03/07,8432,56,"""658,000円""",619,"""27,400円""",91,"""342,700円""",343,"""13,700円"""
第5903回,2022/03/08,8726,23,"""904,900円""",353,"""37,700円""",76,"""471,300円""",452,"""18,800円"""
第5904回,2022/03/09,5692,32,"""769,600円""",414,"""32,000円""",92,"""400,800円""",729,"""16,000円"""
第5905回,2022/03/10,6992,34,"""877,200円""",140,"""73,100円""",77,"""475,100円""",695,"""36,500円"""
第5906回,2022/03/11,6774,14,"""1,170,000円""",180,"""97,500円""",53,"""633,700円""",799,"""48,700円"""
第5907回,2022/03/14,1763,43,"""934,800円""",431,"""38,900円""",55,"""486,800円""",745,"""19,400円"""
第5908回,2022/03/15,3913,16,"""868,400円""",154,"""72,300円""",97,"""470,300円""",749,"""36,100円"""
第5909回,2022/03/16,7733,32,"""841,000円""",119,"""140,100円""",67,"""490,500円""",357,"""70,000円"""
第5910回,2022/03/17,1346,20,"""956,600円""",387,"""39,800円""",68,"""498,200円""",612,"""19,900円"""
第5911回,2022/03/18,4844,8,"""1,386,800円""",72,"""346,700円""",43,"""866,700円""",169,"""173,300円"""
第5912回,2022/03/21,4218,37,"""677,500円""",624,"""28,200円""",102,"""352,800円""",072,"""14,100円"""
第5913回,2022/03/22,8984,10,"""1,056,700円""",141,"""88,000円""",69,"""572,300円""",649,"""44,000円"""
第5914回,2022/03/23,8432,62,"""539,200円""",462,"""22,400円""",111,"""280,800円""",991,"""11,200円"""
第5915回,2022/03/24,1378,15,"""955,800円""",385,"""39,800円""",71,"""497,800円""",727,"""19,900円"""
第5916回,2022/03/25,1188,122,"""325,500円""",162,"""54,200円""",229,"""189,800円""",541,"""27,100円"""
第5917回,2022/03/28,7738,20,"""990,000円""",243,"""82,500円""",99,"""536,200円""",870,"""41,200円"""
第5918回,2022/03/29,4909,17,"""1,323,900円""",96,"""110,300円""",60,"""717,100円""",408,"""55,100円"""
第5919回,2022/03/30,0036,16,"""994,700円""",191,"""82,800円""",69,"""538,700円""",795,"""41,400円"""
第5920回,2022/03/31,0389,14,"""963,000円""",342,"""40,100円""",88,"""501,500円""",520,"""20,000円"""
