第4222回,2015/09/01,8377,10,"""1,191,700円""",126,"""99,300円""",57,"""645,500円""",768,"""49,600円"""
第4223回,2015/09/02,7859,16,"""855,000円""",426,"""35,600円""",94,"""445,300円""",000,"""17,800円"""
第4224回,2015/09/03,5037,16,"""1,235,500円""",297,"""51,400円""",53,"""643,400円""",347,"""25,700円"""
第4225回,2015/09/04,1757,13,"""1,056,900円""",166,"""88,000円""",74,"""572,400円""",841,"""44,000円"""
第4226回,2015/09/07,5733,38,"""700,400円""",330,"""58,300円""",91,"""379,300円""",359,"""29,100円"""
第4227回,2015/09/08,3930,29,"""912,500円""",100,"""76,000円""",74,"""494,200円""",667,"""38,000円"""
第4228回,2015/09/09,4554,14,"""1,276,100円""",82,"""212,600円""",48,"""744,300円""",253,"""106,300円"""
第4229回,2015/09/10,6425,19,"""859,900円""",406,"""35,800円""",88,"""447,800円""",657,"""17,900円"""
第4230回,2015/09/11,5109,25,"""796,700円""",440,"""33,100円""",96,"""414,900円""",898,"""16,500円"""
第4231回,2015/09/14,6255,27,"""1,025,300円""",172,"""85,400円""",74,"""555,300円""",796,"""42,700円"""
第4232回,2015/09/15,3545,31,"""948,700円""",177,"""79,000円""",54,"""513,800円""",686,"""39,500円"""
第4233回,2015/09/16,6284,21,"""916,000円""",487,"""38,100円""",61,"""477,000円""",882,"""19,000円"""
第4234回,2015/09/17,7166,29,"""1,023,900円""",110,"""85,300円""",64,"""554,600円""",553,"""42,600円"""
第4235回,2015/09/18,8225,14,"""1,219,600円""",155,"""101,600円""",50,"""660,600円""",763,"""50,800円"""
第4236回,2015/09/21,5540,39,"""1,069,500円""",111,"""89,100円""",46,"""579,300円""",592,"""44,500円"""
第4237回,2015/09/22,0597,14,"""1,169,600円""",247,"""48,700円""",46,"""609,100円""",310,"""24,300円"""
第4238回,2015/09/23,6231,10,"""1,141,000円""",316,"""47,500円""",50,"""594,200円""",504,"""23,700円"""
第4239回,2015/09/24,5187,18,"""873,500円""",360,"""36,300円""",87,"""454,900円""",581,"""18,100円"""
第4240回,2015/09/25,6013,39,"""839,200円""",274,"""34,900円""",77,"""437,000円""",560,"""17,400円"""
第4241回,2015/09/28,3318,35,"""812,000円""",197,"""67,600円""",114,"""439,800円""",818,"""33,800円"""
第4242回,2015/09/29,0661,6,"""1,618,400円""",133,"""134,800円""",31,"""876,600円""",665,"""67,400円"""
第4243回,2015/09/30,4099,24,"""1,112,200円""",140,"""92,600円""",62,"""602,400円""",593,"""46,300円"""
