第4827回,2018/01/04,5319,39,"""752,000円""",488,"""31,300円""",86,"""391,600円""",896,"""15,600円"""
第4828回,2018/01/05,6489,16,"""933,200円""",448,"""38,800円""",64,"""486,000円""",936,"""19,400円"""
第4829回,2018/01/08,5346,36,"""644,100円""",731,"""26,800円""",107,"""335,400円""",598,"""13,400円"""
第4830回,2018/01/09,9751,15,"""1,234,400円""",334,"""51,400円""",37,"""642,900円""",522,"""25,700円"""
第4831回,2018/01/10,1523,30,"""764,900円""",379,"""31,800円""",102,"""398,300円""",705,"""15,900円"""
第4832回,2018/01/11,5820,18,"""1,079,800円""",366,"""44,900円""",51,"""562,300円""",547,"""22,400円"""
第4833回,2018/01/12,7751,23,"""912,300円""",164,"""76,000円""",86,"""494,100円""",642,"""38,000円"""
第4834回,2018/01/15,6605,42,"""980,900円""",149,"""81,700円""",74,"""531,300円""",561,"""40,800円"""
第4835回,2018/01/16,5564,22,"""770,000円""",187,"""64,100円""",92,"""417,000円""",906,"""32,000円"""
第4836回,2018/01/17,3506,11,"""1,351,100円""",277,"""56,200円""",48,"""703,600円""",136,"""28,100円"""
第4837回,2018/01/18,6110,11,"""976,700円""",209,"""81,300円""",50,"""529,000円""",081,"""40,600円"""
第4838回,2018/01/19,3027,23,"""788,400円""",365,"""32,800円""",107,"""410,600円""",654,"""16,400円"""
第4839回,2018/01/22,3146,28,"""956,500円""",425,"""39,800円""",64,"""498,100円""",683,"""19,900円"""
第4840回,2018/01/23,0341,28,"""698,800円""",364,"""29,100円""",95,"""363,900円""",747,"""14,500円"""
第4841回,2018/01/24,6443,13,"""1,126,600円""",153,"""93,800円""",50,"""610,200円""",701,"""46,900円"""
第4842回,2018/01/25,0517,63,"""537,800円""",311,"""22,400円""",145,"""280,100円""",293,"""11,200円"""
第4843回,2018/01/26,8334,6,"""1,454,200円""",138,"""121,100円""",42,"""787,600円""",669,"""60,500円"""
第4844回,2018/01/29,9016,28,"""877,900円""",394,"""36,500円""",85,"""457,200円""",913,"""18,200円"""
第4845回,2018/01/30,4945,18,"""1,066,900円""",163,"""88,900円""",53,"""577,900円""",665,"""44,400円"""
第4846回,2018/01/31,4148,18,"""1,307,400円""",132,"""108,900円""",45,"""708,100円""",534,"""54,400円"""
