第5599回,2021/01/04,3299,17,"""1,348,600円""",148,"""112,300円""",54,"""730,400円""",709,"""56,100円"""
第5600回,2021/01/05,1530,31,"""692,100円""",585,"""28,800円""",88,"""360,400円""",764,"""14,400円"""
第5601回,2021/01/06,7155,17,"""984,100円""",211,"""82,000円""",70,"""533,000円""",821,"""41,000円"""
第5602回,2021/01/07,1974,59,"""493,700円""",423,"""20,500円""",179,"""257,100円""",751,"""10,200円"""
第5603回,2021/01/08,5852,12,"""1,356,400円""",153,"""113,000円""",50,"""734,700円""",674,"""56,500円"""
第5604回,2021/01/11,6497,15,"""1,199,600円""",469,"""49,900円""",44,"""624,700円""",033,"""24,900円"""
第5605回,2021/01/12,8695,18,"""843,900円""",460,"""35,100円""",89,"""439,500円""",901,"""17,500円"""
第5606回,2021/01/13,1985,28,"""748,400円""",375,"""31,100円""",126,"""389,700円""",722,"""15,500円"""
第5607回,2021/01/14,4886,19,"""804,000円""",266,"""67,000円""",88,"""435,500円""",089,"""33,500円"""
第5608回,2021/01/15,0983,18,"""1,345,000円""",261,"""56,000円""",53,"""700,500円""",351,"""28,000円"""
第5609回,2021/01/18,5172,23,"""750,500円""",855,"""31,200円""",109,"""390,800円""",951,"""15,600円"""
第5610回,2021/01/19,8877,29,"""701,000円""",157,"""116,800円""",75,"""408,900円""",598,"""58,400円"""
第5611回,2021/01/20,3380,16,"""1,015,900円""",163,"""84,600円""",81,"""550,200円""",767,"""42,300円"""
第5612回,2021/01/21,4738,20,"""769,200円""",484,"""32,000円""",107,"""400,600円""",116,"""16,000円"""
第5613回,2021/01/22,1605,27,"""850,000円""",520,"""35,400円""",78,"""442,700円""",052,"""17,700円"""
第5614回,2021/01/25,2030,38,"""940,700円""",255,"""78,300円""",62,"""509,500円""",998,"""39,100円"""
第5615回,2021/01/26,4298,21,"""1,077,700円""",326,"""44,900円""",65,"""561,300円""",380,"""22,400円"""
第5616回,2021/01/27,7754,15,"""1,193,700円""",126,"""99,400円""",63,"""646,500円""",747,"""49,700円"""
第5617回,2021/01/28,1167,16,"""900,800円""",209,"""75,000円""",94,"""487,900円""",834,"""37,500円"""
第5618回,2021/01/29,2537,35,"""723,200円""",489,"""30,100円""",112,"""376,600円""",048,"""15,000円"""
