第4589回,2017/02/01,6646,33,"""987,900円""",57,"""246,900円""",62,"""617,400円""",157,"""123,400円"""
第4590回,2017/02/02,6109,15,"""913,700円""",342,"""38,000円""",77,"""475,800円""",881,"""19,000円"""
第4591回,2017/02/03,3402,7,"""1,103,400円""",397,"""45,900円""",64,"""574,600円""",838,"""22,900円"""
第4592回,2017/02/06,3293,20,"""967,900円""",232,"""80,600円""",79,"""524,200円""",895,"""40,300円"""
第4593回,2017/02/07,4787,13,"""1,137,200円""",122,"""94,700円""",62,"""615,900円""",677,"""47,300円"""
第4594回,2017/02/08,1702,13,"""847,600円""",523,"""35,300円""",64,"""441,400円""",508,"""17,600円"""
第4595回,2017/02/09,8785,11,"""1,089,700円""",120,"""90,800円""",70,"""590,200円""",672,"""45,400円"""
第4596回,2017/02/10,1320,27,"""764,600円""",491,"""31,800円""",72,"""398,200円""",308,"""15,900円"""
第4597回,2017/02/13,5571,27,"""1,107,800円""",169,"""92,300円""",59,"""600,000円""",712,"""46,100円"""
第4598回,2017/02/14,7837,16,"""1,140,700円""",132,"""95,000円""",45,"""617,800円""",748,"""47,500円"""
第4599回,2017/02/15,7985,14,"""869,900円""",575,"""36,200円""",74,"""453,000円""",327,"""18,100円"""
第4600回,2017/02/16,7499,24,"""934,800円""",190,"""77,900円""",72,"""506,300円""",825,"""38,900円"""
第4601回,2017/02/17,3877,13,"""1,120,000円""",134,"""93,300円""",70,"""606,600円""",812,"""46,600円"""
第4602回,2017/02/20,7328,33,"""790,900円""",538,"""32,900円""",96,"""411,900円""",277,"""16,400円"""
第4603回,2017/02/21,4088,29,"""947,400円""",125,"""78,900円""",73,"""513,100円""",644,"""39,400円"""
第4604回,2017/02/22,5256,23,"""1,144,000円""",128,"""95,300円""",62,"""619,600円""",624,"""47,600円"""
第4605回,2017/02/23,4671,14,"""1,094,200円""",305,"""45,500円""",67,"""569,800円""",498,"""22,700円"""
第4606回,2017/02/24,5812,27,"""857,800円""",404,"""35,700円""",86,"""446,700円""",841,"""17,800円"""
第4607回,2017/02/27,2882,29,"""800,100円""",140,"""133,300円""",101,"""466,700円""",490,"""66,600円"""
第4608回,2017/02/28,1347,29,"""764,500円""",458,"""31,800円""",96,"""398,100円""",667,"""15,900円"""
