第5836回,2021/12/01,4643,17,"""994,500円""",165,"""82,800円""",78,"""538,600円""",628,"""41,400円"""
第5837回,2021/12/02,7269,24,"""989,700円""",333,"""41,200円""",66,"""515,400円""",301,"""20,600円"""
第5838回,2021/12/03,1888,23,"""897,200円""",81,"""224,300円""",81,"""560,700円""",172,"""112,100円"""
第5839回,2021/12/06,6770,11,"""1,413,500円""",130,"""117,700円""",56,"""765,600円""",667,"""58,800円"""
第5840回,2021/12/07,8951,12,"""1,091,800円""",316,"""45,400円""",54,"""568,600円""",502,"""22,700円"""
第5841回,2021/12/08,8438,11,"""890,400円""",214,"""74,200円""",71,"""482,300円""",959,"""37,100円"""
第5842回,2021/12/09,5741,20,"""989,200円""",371,"""41,200円""",62,"""515,200円""",420,"""20,600円"""
第5843回,2021/12/10,9636,21,"""1,097,300円""",200,"""91,400円""",44,"""594,300円""",820,"""45,700円"""
第5844回,2021/12/13,2381,33,"""917,600円""",423,"""38,200円""",70,"""477,900円""",778,"""19,100円"""
第5845回,2021/12/14,1250,15,"""868,700円""",415,"""36,100円""",73,"""452,400円""",794,"""18,000円"""
第5846回,2021/12/15,7246,30,"""822,700円""",407,"""34,200円""",88,"""428,400円""",666,"""17,100円"""
第5847回,2021/12/16,6572,12,"""1,305,800円""",334,"""54,400円""",45,"""680,100円""",453,"""27,200円"""
第5848回,2021/12/17,9613,14,"""812,300円""",585,"""33,800円""",89,"""423,000円""",298,"""16,900円"""
第5849回,2021/12/20,1743,31,"""817,500円""",507,"""34,000円""",94,"""425,700円""",204,"""17,000円"""
第5850回,2021/12/21,3582,30,"""668,600円""",582,"""27,800円""",93,"""348,200円""",266,"""13,900円"""
第5851回,2021/12/22,7399,23,"""1,095,900円""",190,"""91,300円""",54,"""593,600円""",662,"""45,600円"""
第5852回,2021/12/23,8544,18,"""1,189,600円""",133,"""99,100円""",54,"""644,300円""",693,"""49,500円"""
第5853回,2021/12/24,0807,50,"""642,800円""",198,"""53,500円""",139,"""348,100円""",769,"""26,700円"""
第5854回,2021/12/27,9715,36,"""884,900円""",605,"""36,800円""",56,"""460,800円""",155,"""18,400円"""
第5855回,2021/12/28,4205,27,"""866,900円""",456,"""36,100円""",60,"""451,500円""",007,"""18,000円"""
第5856回,2021/12/29,4559,18,"""905,800円""",173,"""75,400円""",93,"""490,600円""",841,"""37,700円"""
第5857回,2021/12/30,4709,23,"""761,000円""",402,"""31,700円""",126,"""396,300円""",822,"""15,800円"""
